text,author
"
It is better to be feared than loved, if you cannot be both.
","
Niccolo Machiavelli
"
"
Being entirely honest with oneself is a good exercise.
","
Sigmund Freud
"
"
There is only one happiness in this life, to love and be loved.
","
George Sand
"
"
Life isn't about finding yourself. Life is about creating yourself.
","
George Bernard Shaw
"
"
The only true wisdom is in knowing you know nothing.
","
Socrates
"
"
Everything has beauty, but not everyone sees it.
","
Confucius
"
"
A kiss is a lovely trick designed by nature to stop speech when words become superfluous.
","
Ingrid Bergman
"
"
One of the most beautiful qualities of true friendship is to understand and to be understood.
","
Lucius Annaeus Seneca
"
"
The only thing necessary for the triumph of evil is for good men to do nothing.
","
Edmund Burke
"
"
Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment.
","
Buddha
"
"
Don't judge each day by the harvest you reap but by the seeds that you plant.
","
Robert Louis Stevenson
"
"
Nothing is impossible, the word itself says 'I'm possible'!
","
Audrey Hepburn
"
"
Find a place inside where there's joy, and the joy will burn out the pain.
","
Joseph Campbell
"
"
Try to be a rainbow in someone's cloud.
","
Maya Angelou
"
"
It is during our darkest moments that we must focus to see the light.
","
Aristotle
"
"
Keep love in your heart. A life without it is like a sunless garden when the flowers are dead.
","
Oscar Wilde
"
"
The best and most beautiful things in the world cannot be seen or even touched - they must be felt with the heart.
","
Helen Keller
"
